Tier,Topology,Org Mode,Bit Precision (B),Accelerator Type,Data Rate (GS/s),PD Sensitivity (dBm),Max N or M,P_out (dBm)
Tier_1,N=M,AMW,1,Digital,1,-27.0,147,-27.01
Tier_1,N=M,AMW,1,Digital,5,-23.5,92,-23.56
Tier_1,N=M,AMW,1,Digital,10,-22.0,73,-22.07
Tier_1,N=M,AMW,2,Analog,1,-24.0,99,-24.06
Tier_1,N=M,AMW,2,Analog,5,-20.5,57,-20.59
Tier_1,N=M,AMW,2,Analog,10,-19.0,43,-19.02
Tier_1,N=M,AMW,3,Analog,1,-21.0,62,-21.08
Tier_1,N=M,AMW,3,Analog,5,-17.5,33,-17.64
Tier_1,N=M,AMW,3,Analog,10,-16.0,24,-16.07
Tier_1,N=M,AMW,4,Analog,1,-18.0,36,-18.09
Tier_1,N=M,AMW,4,Analog,5,-14.4,17,-14.45
Tier_1,N=M,AMW,4,Analog,10,-12.8,12,-12.9
Tier_2,NnotM,AMW,1,Digital,1,-27.0,155,-27.07
Tier_2,NnotM,AMW,1,Digital,5,-23.5,122,-23.57
Tier_2,NnotM,AMW,1,Digital,10,-22.0,108,-22.08
Tier_2,NnotM,AMW,2,Analog,1,-24.0,127,-24.1
Tier_2,NnotM,AMW,2,Analog,5,-20.5,94,-20.6
Tier_2,NnotM,AMW,2,Analog,10,-19.0,79,-19.0
Tier_2,NnotM,AMW,3,Analog,1,-21.0,98,-21.02
Tier_2,NnotM,AMW,3,Analog,5,-17.5,65,-17.52
Tier_2,NnotM,AMW,3,Analog,10,-16.0,51,-16.03
Tier_2,NnotM,AMW,4,Analog,1,-18.0,70,-18.05
Tier_2,NnotM,AMW,4,Analog,5,-14.4,36,-14.43
Tier_2,NnotM,AMW,4,Analog,10,-12.8,21,-12.84
Tier_3,N=M,MAW,1,Digital,1,-27.0,166,-27.03
Tier_3,N=M,MAW,1,Digital,5,-23.5,106,-23.53
Tier_3,N=M,MAW,1,Digital,10,-22.0,85,-22.04
Tier_3,N=M,MAW,2,Analog,1,-24.0,114,-24.06
Tier_3,N=M,MAW,2,Analog,5,-20.5,67,-20.54
Tier_3,N=M,MAW,2,Analog,10,-19.0,52,-19.07
Tier_3,N=M,MAW,3,Analog,1,-21.0,73,-21.07
Tier_3,N=M,MAW,3,Analog,5,-17.5,39,-17.5
Tier_3,N=M,MAW,3,Analog,10,-16.0,30,-16.16
Tier_3,N=M,MAW,4,Analog,1,-18.0,43,-18.02
Tier_3,N=M,MAW,4,Analog,5,-14.4,21,-14.43
Tier_3,N=M,MAW,4,Analog,10,-12.8,15,-12.89
Tier_4,NnotM,MAW,1,Digital,1,-27.0,164,-27.02
Tier_4,NnotM,MAW,1,Digital,5,-23.5,131,-23.52
Tier_4,NnotM,MAW,1,Digital,10,-22.0,117,-22.04
Tier_4,NnotM,MAW,2,Analog,1,-24.0,136,-24.05
Tier_4,NnotM,MAW,2,Analog,5,-20.5,103,-20.55
Tier_4,NnotM,MAW,2,Analog,10,-19.0,89,-19.07
Tier_4,NnotM,MAW,3,Analog,1,-21.0,108,-21.08
Tier_4,NnotM,MAW,3,Analog,5,-17.5,75,-17.58
Tier_4,NnotM,MAW,3,Analog,10,-16.0,61,-16.09
Tier_4,NnotM,MAW,4,Analog,1,-18.0,79,-18.0
Tier_4,NnotM,MAW,4,Analog,5,-14.4,46,-14.5
Tier_4,NnotM,MAW,4,Analog,10,-12.8,31,-12.9
Tier_5,N=M,MWA,1,Digital,1,-27.0,228,-27.02
Tier_5,N=M,MWA,1,Digital,5,-23.5,156,-23.5
Tier_5,N=M,MWA,1,Digital,10,-22.0,130,-22.04
Tier_5,N=M,MWA,2,Analog,1,-24.0,166,-24.03
Tier_5,N=M,MWA,2,Analog,5,-20.5,106,-20.53
Tier_5,N=M,MWA,2,Analog,10,-19.0,85,-19.04
Tier_5,N=M,MWA,3,Analog,1,-21.0,114,-21.06
Tier_5,N=M,MWA,3,Analog,5,-17.5,67,-17.54
Tier_5,N=M,MWA,3,Analog,10,-16.0,52,-16.07
Tier_5,N=M,MWA,4,Analog,1,-18.0,73,-18.07
Tier_5,N=M,MWA,4,Analog,5,-14.4,39,-14.5
Tier_5,N=M,MWA,4,Analog,10,-12.8,28,-12.82
Tier_6,NnotM,MWA,1,Digital,1,-27.0,193,-27.1
Tier_6,NnotM,MWA,1,Digital,5,-23.5,160,-23.6
Tier_6,NnotM,MWA,1,Digital,10,-22.0,145,-22.01
Tier_6,NnotM,MWA,2,Analog,1,-24.0,164,-24.02
Tier_6,NnotM,MWA,2,Analog,5,-20.5,131,-20.52
Tier_6,NnotM,MWA,2,Analog,10,-19.0,117,-19.04
Tier_6,NnotM,MWA,3,Analog,1,-21.0,136,-21.05
Tier_6,NnotM,MWA,3,Analog,5,-17.5,103,-17.55
Tier_6,NnotM,MWA,3,Analog,10,-16.0,89,-16.07
Tier_6,NnotM,MWA,4,Analog,1,-18.0,108,-18.08
Tier_6,NnotM,MWA,4,Analog,5,-14.4,74,-14.47
Tier_6,NnotM,MWA,4,Analog,10,-12.8,59,-12.88
